8EB9_1	7NLJ_2	80	3.760E-01	2.083E-01	2.118E-01	9.074E+00
8EB9_1	7B1I_2	80	3.866E-01	2.109E-01	2.126E-01	8.587E+00
8EB9_1	2OPC_1	96	3.151E-01	2.757E-01	2.292E-01	1.014E+01
8EB9_1	2N37_1	48	3.202E-01	1.633E-01	2.160E-01	9.394E+00
8EB9_1	6Q76_2	23	4.979E-01	2.021E-01	2.672E-01	2.101E+00
8EB9_1	7ZK0_1	53	4.021E-01	2.076E-01	2.171E-01	6.777E+00
8EB9_1	7ZKD_1	58	3.361E-01	1.970E-01	1.970E-01	1.230E+01
8EB9_1	2QVT_1	98	2.753E-01	2.427E-01	1.769E-01	1.071E+01
8EB9_1	1KPT_1	19	2.411E-01	1.148E-01	1.057E-01	4.675E+00
8EB9_1	8ACX_1	60	3.785E-01	1.707E-01	1.200E-01	1.204E+01
8EB9_1	6FMB_1	58	2.175E-01	1.368E-01	1.339E-01	1.176E+01
8EB9_1	8OXI_1	82	3.558E-01	2.267E-01	2.124E-01	7.741E+00
8EB9_1	8EBB_1	71	2.822E-01	2.031E-01	1.363E-01	8.395E+00
8EB9_1	7T6A_1	93	2.689E-01	1.844E-01	1.044E-01	1.271E+01
8EB9_1	2MM0_1	65	4.137E-01	2.308E-01	3.211E-01	1.253E+01
8EB9_1	5OD4_1	80	1.953E-01	1.670E-01	1.430E-01	1.157E+01
8EB9_1	8OXH_1	63	4.416E-01	2.621E-01	2.667E-01	8.126E+00
8EB9_1	8R7A_2	62	2.866E-01	1.613E-01	1.147E-01	1.333E+01
8EB9_1	8DP8_1	124	1.500E-01	1.480E-01	1.123E-01	1.410E+01
8EB9_1	8DP9_1	117	1.491E-01	1.401E-01	1.123E-01	1.289E+01
8EB9_1	1FN8_1	38	3.371E-01	1.088E-01	5.009E-02	1.061E+01
8EB9_1	8V1J_1	32	3.473E-01	1.261E-01	1.032E-01	1.018E+01
8EB9_1	6SGO_1	101	2.231E-01	1.851E-01	1.248E-01	1.383E+01
7B1I_2	7B1I_2	94	1.011E+00	1.000E+00	1.000E+00	0.000E+00
