7B1I_2	2MM0_1	63	7.403E-01	2.416E+00
7B1I_2	6R5J_1	62	7.421E-01	2.291E+00
7B1I_2	8C8A_1	68	6.795E-01	3.737E+00
7B1I_2	5Z1V_1	57	7.710E-01	2.385E+00
7B1I_2	8R7A_2	63	7.695E-01	2.100E+00
7B1I_2	2MYV_1	73	6.123E-01	4.957E+00
7B1I_2	7ZK0_1	64	7.350E-01	2.621E+00
7B1I_2	2MM2_1	63	6.964E-01	2.683E+00
7B1I_2	7ZKD_1	66	5.499E-01	4.715E+00
7B1I_2	2MYW_1	81	4.761E-01	1.159E+01
7B1I_2	6Q76_2	72	5.438E-01	5.063E+00
7B1I_2	2LW6_1	68	6.490E-01	4.281E+00
7B1I_2	5JHJ_1	80	4.746E-01	9.934E+00
7B1I_2	2N37_1	67	5.457E-01	4.243E+00
7B1I_2	7ZJY_1	59	4.266E-01	5.212E+00
7B1I_2	8OXL_1	93	3.221E-01	8.805E+00
7B1I_2	1KG1_1	53	2.822E-01	1.185E+01
7B1I_2	1ZLD_1	68	2.857E-01	1.194E+01
7B1I_2	8ACX_1	29	3.982E-01	4.561E+00
7B1I_2	5XMZ_1	64	2.025E-01	1.367E+01
7B1I_2	5OD4_1	67	2.579E-01	6.905E+00
7B1I_2	1FN8_1	58	1.710E-01	1.093E+01
7B1I_2	6BN0_1	31	2.558E-01	1.050E+01
7B1I_2	8EB9_1	65	2.145E-01	1.089E+01
7B1I_2	1KPT_1	40	2.121E-01	8.866E+00
7B1I_2	8EBB_1	61	2.468E-01	1.259E+01
7B1I_2	6FMB_1	49	1.921E-01	1.092E+01
7B1I_2	1ZLE_1	61	1.999E-01	1.386E+01
7B1I_2	5FID_1	70	3.586E-01	8.866E+00
7B1I_2	5FNO_1	15	4.578E-01	1.996E+00
7B1I_2	6ZUS_1	63	2.495E-01	9.747E+00
7B1I_2	8OXJ_1	75	1.853E-01	1.139E+01
7B1I_2	8OXI_1	29	2.725E-01	5.200E+00
7B1I_2	2QVT_1	86	2.027E-01	1.127E+01
7B1I_2	4FPQ_1	86	1.561E-01	1.295E+01
7B1I_2	7T69_1	67	2.317E-01	1.244E+01
7B1I_2	5VJJ_1	44	2.162E-01	1.315E+01
7B1I_2	6WES_1	74	1.092E-01	1.641E+01
8DP9_1	8DP9_1	133	1.008E+00	0.000E+00
8DP9_1	8DP8_1	138	9.921E-01	4.628E-01
8DP9_1	1FN8_1	89	2.232E-01	1.249E+01
8DP9_1	7MQQ_1	101	1.722E-01	1.514E+01
8DP9_1	8V1J_1	98	1.760E-01	1.572E+01
8DP9_1	5XMZ_1	29	3.583E-01	7.965E+00
8DP9_1	7ZK0_1	97	3.080E-01	9.123E+00
8DP9_1	7NMM_2	46	2.142E-01	9.185E+00
8DP9_1	8ACX_1	35	2.187E-01	9.517E+00
8DP9_1	7EAU_1	26	2.424E-01	6.605E+00
8DP9_1	2MM0_1	53	1.929E-01	1.024E+01
8DP9_1	2N37_1	90	2.693E-01	7.939E+00
8DP9_1	8OXJ_1	79	2.393E-01	1.129E+01
8DP9_1	8OXH_1	33	3.234E-01	4.977E+00
8DP9_1	8R7A_2	65	2.299E-01	1.304E+01
8DP9_1	7T6A_1	106	1.846E-01	1.145E+01
8DP9_1	6BN0_1	32	2.165E-01	8.906E+00
8DP9_1	8EB9_1	88	2.929E-01	1.193E+01
8DP9_1	7NLJ_2	46	2.456E-01	9.248E+00
8DP9_1	8OXL_1	36	4.714E-01	6.913E+00
8DP9_1	6ZUS_1	43	3.058E-01	1.155E+01
8DP9_1	4Z4A_1	31	1.994E-01	7.728E+00
8DP9_1	2MYV_1	76	2.194E-01	1.235E+01
8DP9_1	6FU9_2	72	1.854E-01	1.366E+01
8DP9_1	1KPT_1	82	2.591E-01	1.001E+01
8DP9_1	7T69_1	82	2.536E-01	1.141E+01
8DP9_1	6G10_2	48	2.125E-01	1.051E+01
8DP9_1	8EBB_1	120	1.378E-01	1.670E+01
31EE_1	31EE_1	245	1.004E+00	1.800E-02
31EE_1	4BJM_1	206	2.358E-01	1.765E+01
31EE_1	4BJN_1	108	2.497E-01	1.564E+01
31EE_1	7XVG_2	136	1.849E-01	1.330E+01
31EE_1	7XDS_1	166	2.010E-01	1.716E+01
31EE_1	7XC2_2	158	2.305E-01	1.529E+01
31EE_1	6QPK_1	17	5.867E-01	2.616E+00
31EE_1	8OXK_1	12	9.148E-01	4.409E-01
31EE_1	5FNO_1	159	1.767E-01	1.864E+01
31EE_1	8OXJ_1	11	6.052E-01	1.472E+00
31EE_1	7XE0_2	134	1.662E-01	1.738E+01
